Budget;Generator;Revenue
1;0;0.43
2;0.693147181;1.483147181
3;1.098612289;0.838612289
4;1.386294361;2.026294361
5;1.609437912;0.839437912
6;1.791759469;1.051759469
7;1.945910149;1.375910149
8;2.079441542;2.269441542
9;2.197224577;2.587224577
10;2.302585093;3.042585093
11;2.397895273;1.977895273
12;2.48490665;2.18490665
13;2.564949357;3.314949357
14;2.63905733;2.62905733
15;2.708050201;1.798050201
16;2.772588722;3.382588722
17;2.833213344;1.933213344
18;2.890371758;3.500371758
19;2.944438979;2.474438979
20;2.995732274;3.685732274
21;3.044522438;3.934522438
22;3.091042453;3.731042453
